date,location,confirmed
2020-04-02,Mattapoisett,8
2020-04-03,Mattapoisett,8
2020-04-04,Mattapoisett,8
2020-04-05,Mattapoisett,8
2020-04-06,Mattapoisett,8
2020-04-07,Mattapoisett,8
2020-04-08,Mattapoisett,8
2020-04-09,Mattapoisett,8
2020-04-10,Mattapoisett,9
2020-04-11,Mattapoisett,9
2020-04-12,Mattapoisett,9
2020-04-13,Mattapoisett,9
2020-04-14,Mattapoisett,9
2020-04-15,Mattapoisett,10
2020-04-16,Mattapoisett,10
2020-04-17,Mattapoisett,10
2020-04-18,Mattapoisett,10
2020-04-19,Mattapoisett,10
2020-04-20,Mattapoisett,10
2020-04-21,Mattapoisett,10
2020-04-22,Mattapoisett,12
2020-04-23,Mattapoisett,12
2020-04-24,Mattapoisett,14
2020-04-25,Mattapoisett,15
2020-04-26,Mattapoisett,15
2020-04-27,Mattapoisett,15
2020-04-28,Mattapoisett,15
2020-04-29,Mattapoisett,15
2020-04-30,Mattapoisett,19
2020-05-01,Mattapoisett,20
2020-05-02,Mattapoisett,21
2020-05-03,Mattapoisett,21
2020-05-04,Mattapoisett,21
2020-05-05,Mattapoisett,21
2020-05-06,Mattapoisett,22
2020-05-07,Mattapoisett,23
2020-05-08,Mattapoisett,23
2020-05-09,Mattapoisett,24
2020-05-10,Mattapoisett,24
2020-05-11,Mattapoisett,24
2020-05-12,Mattapoisett,24
2020-05-13,Mattapoisett,24
2020-05-14,Mattapoisett,25
2020-05-15,Mattapoisett,25
2020-05-16,Mattapoisett,25
2020-05-17,Mattapoisett,26
2020-05-18,Mattapoisett,27
2020-05-19,Mattapoisett,28
2020-05-20,Mattapoisett,28
2020-05-21,Mattapoisett,28
2020-05-22,Mattapoisett,28
2020-05-23,Mattapoisett,28
2020-05-24,Mattapoisett,29
2020-05-25,Mattapoisett,29
2020-05-26,Mattapoisett,29
